asset_id,site_id,kind,name,parent_id,capacity_kw,tilt_deg,azimuth_deg,telemetry_column,notes
nova_manassas_inverter_1,nova_manassas,inverter,String inverter,nova_manassas_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
nova_manassas_pyranometer_1,nova_manassas,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
nova_manassas_weather_station_1,nova_manassas,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
nova_woodbridge_array_1,nova_woodbridge,array,Rooftop array,,90.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
nova_woodbridge_inverter_1,nova_woodbridge,inverter,String inverter,nova_woodbridge_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
nova_woodbridge_pyranometer_1,nova_woodbridge,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
nova_woodbridge_weather_station_1,nova_woodbridge,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_array_1,dc_community,array,Array A,,200.0,20.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_array_2,dc_community,array,Array B,,200.0,20.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_array_3,dc_community,array,Array C,,100.0,20.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_inverter_1,dc_community,inverter,Inverter A,dc_community_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_inverter_2,dc_community,inverter,Inverter B,dc_community_array_2,,,,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_inverter_3,dc_community,inverter,Inverter C,dc_community_array_3,,,,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_meter_1,dc_community,meter,Revenue meter,,,,,,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_pyranometer_1,dc_community,pyranometer,Plane-of-array pyranometer,,,20.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
dc_community_weather_station_1,dc_community,weather_station,Site weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
